GNa,GNaL,Gto,GKr,GKs,GKur,GK1,GCaL,Pnak,Gncx,GpCa,Rel,SERCA,Leak
0.89546,1.0338,0.27829,1.1641,2.3804,0.42314,2.6973,0.56211,0.86584,1.295,0.95716,0.97822,0.92106,1.1661
0.75673,0.80115,0.26623,1.1816,2.2114,0.42253,2.6578,0.5432,0.82903,1.2619,1.0125,1.034,1.0302,1.2815
0.82832,0.92362,0.26537,1.0093,1.8888,0.39121,2.0619,0.537,0.94697,1.4496,1.1294,1.2711,0.90229,1.2172
0.82924,1.0586,0.26962,0.99566,1.962,0.51909,2.1471,0.67844,1.0659,1.4552,1.0246,0.91309,0.98315,1.3167
0.90477,0.97677,0.25619,0.95442,1.9971,0.48762,2.3548,0.61447,1.0319,1.3702,1.0965,0.94206,0.95793,1.1089
1.0398,1.1078,0.35869,1.1668,1.7612,0.44265,2.2483,0.63424,0.97881,1.407,1.0303,0.91074,1.1001,1.4168
0.90494,0.84064,0.3319,0.84329,1.7327,0.46213,1.7899,0.57266,0.98807,1.4576,1.1544,1.0219,1.0302,1.2606
0.94715,1.095,0.32673,1.0647,1.6828,0.48082,2.0939,0.56559,0.86112,1.7202,0.70034,1.096,1.203,1.0029
0.8576,0.90039,0.2934,1.1099,2.626,0.45867,2.63,0.6187,1.3458,1.6795,1.063,0.7722,0.94003,1.395
0.71793,0.80629,0.28349,0.89413,2.0511,0.48172,2.5572,0.57245,1.0225,1.3892,1.0238,0.99647,1.0976,1.0289
0.89177,0.84083,0.34517,1.1433,2.0861,0.42547,1.7802,0.57492,1.2027,1.4849,0.99885,1.0753,1.0121,1.0066
0.96137,1.0905,0.28726,1.0886,1.7096,0.47313,2.106,0.6207,0.76594,1.2334,0.99044,1.114,1.1687,1.2774
1.0309,1.0472,0.3011,1.0884,2.1086,0.38227,1.7917,0.57961,0.93964,1.4737,0.84355,0.81236,1.0479,1.4433
0.82838,0.91298,0.27629,0.95155,1.8884,0.51233,1.9392,0.62553,1.1811,1.5896,0.99183,1.0034,1.0653,1.1307
0.87793,1.0452,0.34036,0.91841,2.3629,0.43129,1.9741,0.60067,1.2241,1.3993,0.98901,1.06,0.99928,1.3329
0.90807,0.88109,0.24689,1.0444,2.5979,0.40633,1.8966,0.54458,0.96583,1.2267,1.026,1.0991,0.87578,1.0524
0.93713,0.9628,0.28501,0.80494,2.1863,0.43757,2.024,0.54564,0.98886,1.4591,0.8021,0.97308,1.2843,1.3985
0.88228,1.1932,0.31115,1.2067,2.2809,0.52059,2.2604,0.62093,0.86548,1.3808,1.0763,1.3296,0.94547,1.2503
1.0008,1.1732,0.28736,1.0563,1.9055,0.41947,1.9441,0.5441,1.0811,1.5813,0.98989,1.0275,1.3244,1.3606
0.93379,0.95495,0.27619,0.99204,2.3766,0.42557,1.8943,0.61316,1.0725,1.164,0.88431,0.9451,1.2352,0.95723
0.91398,0.87053,0.29221,1.0323,1.8864,0.47897,1.921,0.59607,0.99597,1.4653,1.0728,0.93513,0.83874,1.2359
0.833,1.0322,0.30653,0.90265,1.6617,0.49264,2.4093,0.62202,0.98821,1.3899,0.99208,0.99557,0.87477,1.2882
0.82959,0.93258,0.31326,0.9616,1.7046,0.3934,1.9791,0.55607,1.0296,1.3758,0.77198,0.81439,0.96542,1.3945
0.81486,0.92782,0.27286,0.95085,1.7092,0.40224,2.1116,0.51487,0.95049,1.2286,0.91736,0.89484,1.2361,1.0998
0.79203,1.0186,0.27918,0.85169,2.4053,0.38838,2.3139,0.54142,1.1078,1.5133,0.83326,1.0048,1.1378,1.4236
0.8,0.93612,0.29538,0.93314,1.837,0.47657,1.823,0.59599,1.2069,1.4956,0.74666,0.97053,0.81526,1.3794
0.78983,1.2357,0.34118,0.79276,1.7667,0.49443,2.2094,0.61893,1.2131,1.6568,0.95788,1.1981,1.1238,1.4911
0.84375,0.97406,0.26056,0.96013,2.4429,0.40672,2.2879,0.56565,1.0263,1.2207,0.96146,0.98434,1.2929,1.3385
0.91961,0.95635,0.29061,1.004,2.1285,0.40996,2.111,0.66437,1.0884,1.5416,0.82531,0.9621,0.83689,1.2908
0.84196,0.95673,0.30391,0.9717,2.1178,0.48242,2.6918,0.54768,0.85956,1.5821,0.99149,1.1816,0.98919,1.1467
0.92238,0.8327,0.25208,1.0716,1.9866,0.48257,1.8725,0.62311,0.92789,1.438,0.92384,0.79339,1.1969,1.2434
0.89474,1.0084,0.31994,0.9278,2.1625,0.45108,1.7352,0.56291,1.0291,1.4278,1.0294,1.1783,0.87903,1.5404
0.85387,1.2532,0.30668,1.212,1.7628,0.49668,2.1415,0.63763,0.97312,1.3661,0.78844,0.86466,0.87416,1.4061
0.82645,1.0306,0.19755,1.076,1.86,0.45278,2.5998,0.58616,0.92265,1.6546,1.124,1.1441,1.2289,1.4636
0.87735,1.0332,0.26892,1.0751,2.2145,0.43414,2.0723,0.55962,1.0973,1.4486,0.99149,1.1194,1.1204,1.3623
0.96649,0.85901,0.36532,1.0171,1.9162,0.43616,2.1141,0.60226,1.036,1.6546,1.0543,0.90937,0.97802,1.2531
0.85119,0.79595,0.32079,0.98952,1.6189,0.4725,1.9084,0.58652,1.0539,1.7608,0.87041,1.0285,0.91671,1.0893
0.95142,0.99498,0.35283,1.0646,2.0287,0.49039,1.8703,0.61893,0.92268,1.23,0.73011,0.88395,1.1168,1.0329
0.87006,0.91086,0.37153,0.84728,1.9668,0.44854,2.1425,0.65118,1.1126,1.4134,1.0874,0.92972,0.99355,1.0974
1.1213,0.9373,0.31469,1.2134,1.9285,0.40782,2.0356,0.58016,0.84459,1.2572,0.9658,0.77386,0.87112,1.0117
0.76428,1.0587,0.30051,0.8036,2.1575,0.4081,2.2089,0.54733,1.1142,1.2128,1.0274,1.1686,0.99898,1.1969
1.0749,1.1529,0.33049,1.097,2.1563,0.42728,2.0638,0.58655,0.85058,1.4483,1.1344,1.0169,0.95531,1.2382
0.89604,0.82239,0.2892,1.0917,1.5863,0.39882,1.8418,0.59157,0.9428,1.4484,1.009,1.0488,0.93689,1.3828
0.95229,0.9765,0.33991,1.325,2.0426,0.40377,2.0722,0.58994,0.95669,1.5727,1.028,1.2019,1.0292,1.3064
0.85178,1.0979,0.28827,0.91849,1.888,0.51791,2.0827,0.5624,0.93775,1.7022,0.98614,1.1081,0.99422,1.1872
0.80843,0.82435,0.25657,1.0744,2.9812,0.39176,1.9893,0.53978,1.0532,1.5373,0.81534,1.0783,1.2664,1.4079
0.81169,1.2145,0.27417,0.94385,2.2242,0.45426,2.105,0.57283,0.88217,1.35,0.98576,0.97182,0.97986,1.4018
0.88225,0.87424,0.26426,0.79536,2.1146,0.51696,2.1514,0.65002,1.0408,1.8436,1.1412,0.87477,1.0043,1.5063
0.82881,1.2322,0.28851,0.85729,1.7845,0.46183,2.5905,0.54689,0.85512,1.3412,0.89862,0.9757,1.0366,1.3094
0.79675,1.0439,0.24193,1.0296,2.4449,0.51516,2.4197,0.57844,0.98969,1.4485,0.91497,0.85326,1.1463,1.0626
0.80899,0.9635,0.27183,1.1005,2.2228,0.47995,2.3145,0.5985,1.2074,1.56,0.79271,0.85766,1.1515,1.1737
0.84474,1.0973,0.27515,1.0462,1.8416,0.47358,2.2137,0.63038,1.1379,1.5679,1.0514,0.84674,0.793,1.373
1.172,0.87336,0.33282,0.92256,2.3191,0.45807,2.1578,0.61951,0.90963,1.495,0.94861,0.83278,1.0392,1.5143
0.79016,0.92876,0.31273,1.0643,2.1789,0.4209,2.1474,0.54351,1.0152,1.6252,0.89424,1.1827,1.1218,1.3898
0.98819,1.0826,0.27137,1.1304,1.916,0.46027,2.1179,0.58601,0.88343,1.5108,0.94097,0.80263,1.0754,1.1846
0.88388,0.97586,0.26928,1.225,2.259,0.43309,2.213,0.55572,0.93302,1.2386,0.74916,1.155,1.0578,1.2593
0.99957,1.0698,0.25032,0.95461,1.7836,0.50511,2.0975,0.63838,0.8441,1.328,0.90904,0.97547,1.0435,1.2508
0.88709,1.0944,0.29165,1.1154,1.6601,0.36804,1.9936,0.51101,0.82299,1.1513,0.97192,1.0986,0.98938,1.1968
0.86487,0.91775,0.35214,0.95668,1.8866,0.41456,2.5144,0.6164,1.0783,1.5695,1.1255,1.0267,0.92394,1.162
0.88507,1.0107,0.34388,0.91654,2.0682,0.523,2.1152,0.70087,1.0126,1.4,0.92431,1.0286,1.0193,1.4089
0.78557,1.0364,0.26221,0.89686,2.194,0.46485,2.169,0.58999,1.0885,1.1739,1.0801,1.0788,0.83944,1.2318
0.92831,1.0025,0.31261,0.89275,2.5121,0.40628,2.442,0.53429,0.9273,1.7052,1.1221,1.1446,1.0425,1.0621
1.0446,1.071,0.28209,0.8522,1.9381,0.39703,2.0708,0.57141,0.88864,1.2518,1.2152,0.84189,1.1136,1.2316
0.89742,0.96818,0.30686,1.0806,1.846,0.47914,1.725,0.5806,1.0144,1.4821,0.97986,1.0315,0.93947,1.0687
1.0514,1.0427,0.28475,0.90945,2.0743,0.45454,2.4225,0.65002,0.83822,1.3368,1.0923,0.91708,0.9754,1.4516
0.89253,0.96824,0.25633,0.99269,1.906,0.40788,2.1078,0.56787,0.97314,1.3914,0.88248,1.0685,1.0434,1.1781
0.88834,1.0622,0.28877,1.1642,1.6954,0.44686,2.002,0.56244,0.93136,1.5027,0.92143,0.8508,0.85653,1.3122
0.91652,0.97219,0.27779,0.86365,2.084,0.43232,2.203,0.54238,0.85276,1.3055,1.0375,1.0075,0.97487,1.1887
0.92276,0.87552,0.30454,1.4172,1.6978,0.44439,1.8125,0.61598,1.0728,1.3401,0.96884,1.0492,0.922,1.1328
0.78869,1.2189,0.33355,0.83618,1.9517,0.4779,2.3766,0.58802,0.91656,1.2571,1.0271,1.2407,0.98262,0.85683
0.87233,0.98384,0.28959,1.0806,1.8526,0.4649,2.1348,0.64247,0.99911,1.6158,0.88903,0.99398,0.88154,1.1349
0.9544,0.88701,0.31482,0.77096,2.4494,0.43199,2.4178,0.64384,1.077,1.4272,1.0346,1.0344,0.94735,1.3561
0.82874,1.1038,0.32407,0.915,2.2259,0.43817,2.2047,0.55462,1.0298,1.3518,1.0971,1.2703,0.87721,1.2923
0.82126,0.95134,0.36372,1.051,1.6706,0.43942,2.0685,0.60173,1.1184,1.6498,0.76766,0.99245,0.88072,1.1429
0.99136,0.9679,0.31256,1.0119,2.1951,0.48604,2.214,0.63832,0.88928,1.5335,1.0432,1.0338,0.96334,1.2707
0.9831,0.86361,0.31648,0.99969,1.9146,0.44239,2.19,0.58221,1.0009,1.4855,0.92742,1.0449,1.0117,1.3076
0.7945,0.98694,0.35171,0.93179,2.121,0.48766,2.3695,0.58937,1.0127,1.4289,0.92589,1.1454,1.1513,1.2869
0.82124,1.1152,0.29376,1.0016,2.1907,0.46596,2.0246,0.5752,0.95671,1.4848,1.0225,1.0856,1.1549,1.4306
1.0051,1.1617,0.30504,1.1986,1.5526,0.48825,1.7687,0.61283,0.93942,1.7228,1.1216,1.1359,0.83417,1.3831
0.8824,0.97956,0.28326,0.85301,2.3995,0.41914,2.2239,0.52557,0.82694,1.3968,0.95537,0.94979,1.1623,1.1537
0.97263,1.0845,0.32463,0.91219,1.6782,0.42057,2.3379,0.54253,0.69614,1.3246,1.1825,1.0329,1.1379,1.0342
0.85658,0.92479,0.24436,1.0526,1.8637,0.53145,2.0525,0.65675,0.93296,1.4511,0.81327,1.1755,0.9824,1.3087
0.86475,0.98316,0.25635,1.0265,1.8698,0.52052,1.985,0.56,0.89791,1.6211,0.94058,0.96794,1.1086,1.1726
0.93889,1.0336,0.32213,1.0296,1.8034,0.43986,1.886,0.52667,0.86322,1.57,1.0074,1.0296,1.0293,1.3898
1.0358,1.1118,0.26315,0.9374,2.1354,0.42133,1.9536,0.65763,1.0508,1.5754,0.94482,1.0143,0.94831,1.3374
1.0152,0.95806,0.38343,1.1286,2.263,0.40374,1.8554,0.55877,0.91541,1.6149,1.1012,1.0069,1.2311,1.5572
1.1015,1.2067,0.26711,1.2664,1.8564,0.45637,2.0357,0.59778,0.87691,1.5072,1.0608,1.0236,1.0048,1.3111
0.78598,1.0417,0.32875,0.95848,2.4446,0.4064,2.1032,0.59479,1.0108,1.3713,0.9488,0.94246,0.90423,1.3425
0.90197,1.0587,0.27333,0.92748,2.125,0.4276,2.0682,0.60712,0.93295,1.4055,0.99907,1.2604,1.0088,1.2342
1.0078,1.0905,0.29539,1.04,2.2365,0.46491,2.2854,0.60753,0.85531,1.4852,1.1118,1.0306,0.84898,1.4245
0.79974,1.0034,0.30828,1.1987,2.0974,0.39841,2.7102,0.51683,0.96083,1.4597,1.0015,0.87002,1.1792,1.2227
0.9561,0.75758,0.32915,0.80354,1.9987,0.46825,2.3016,0.59461,0.8528,1.5644,1.1167,0.98027,0.98587,1.1975
0.86417,0.80119,0.2992,0.87333,2.0683,0.40509,2.0566,0.5486,0.89956,1.2791,0.92108,1.202,1.0907,0.94595
0.81688,0.92681,0.31195,0.8972,1.9353,0.35293,2.3061,0.52723,0.99247,1.3902,1.0081,1.1197,0.95858,1.2022
0.78155,1.0547,0.28098,1.2853,1.7729,0.40388,2.2046,0.48508,0.90893,1.5795,0.93659,1.0165,0.94113,1.3382
0.96847,0.88859,0.2553,1.1066,1.7575,0.38377,2.1301,0.60943,0.99518,1.2403,0.98361,0.92636,1.0733,0.99264
0.90789,0.93847,0.26851,0.831,1.9968,0.52444,2.3653,0.73325,0.93133,1.2051,1.1089,1.0663,1.1462,1.385
1.0505,1.044,0.31914,0.92938,1.9117,0.50015,2.3743,0.71957,1.004,1.1448,0.85994,0.84308,0.8362,1.5011
0.99237,1.0761,0.30404,1.0814,2.1098,0.47836,1.6399,0.62263,1.0232,1.5425,1.2048,1.1173,0.94807,1.2579
0.97704,0.94342,0.29411,1.0963,2.0937,0.43444,1.8397,0.58882,1.0524,1.3191,0.99197,0.82978,1.0306,1.2991
0.91264,0.96618,0.28367,1.0718,1.6751,0.52775,2.1878,0.61263,0.80407,1.4533,0.9003,1.116,1.0232,1.1382
0.86746,1.0133,0.26052,0.88127,2.0449,0.48188,2.306,0.72008,0.93109,1.1692,1.0725,1.0546,0.9471,1.6001
0.85944,1.0153,0.32639,1.0965,2.537,0.41983,2.0391,0.52271,0.83155,1.6279,1.0554,1.0157,1.2279,1.2154
0.9695,0.98076,0.31196,1.0018,2.0345,0.48474,1.6105,0.61805,1.2332,1.6783,1.0189,0.95018,1.1923,1.2204
1.0291,0.91308,0.29324,0.99975,2.0871,0.42542,1.8888,0.56421,0.89846,1.5632,1.2993,1.0039,1.0838,1.0913
0.91993,1.0388,0.29823,1.1274,2.0348,0.4499,2.0478,0.60568,1.0952,1.5865,1.0423,0.81719,0.93681,1.3006
0.80886,1.0113,0.24169,1.3522,2.217,0.4686,2.8118,0.55586,0.82172,1.5012,0.9277,0.92814,1.0659,1.1736
0.80829,0.78961,0.25451,1.1352,2.0492,0.44415,2.3961,0.52405,0.74612,1.3886,0.81352,1.1966,1.0048,1.3742
0.88489,0.85017,0.36297,1.1957,1.7813,0.45001,2.4328,0.56282,0.92244,1.6729,0.95984,0.84077,0.9312,1.0558
0.75203,0.96753,0.29331,0.76325,1.881,0.41403,2.2289,0.53439,1.1314,1.3651,1.1988,1.0187,0.95654,1.082
0.76909,1.0374,0.34427,1.1726,1.955,0.43219,2.0939,0.57107,1.0633,1.4517,1.075,1.034,1.2864,1.0587
0.80425,1.0482,0.31743,1.0613,1.7549,0.47213,1.6597,0.62388,1.2521,1.2887,1.0624,0.92371,0.86631,1.2055
0.9898,0.99048,0.29737,0.79735,2.2201,0.47021,1.9181,0.59745,0.97195,1.5093,1.2185,0.89872,0.99118,1.1991
0.82384,0.7795,0.20409,0.85611,2.19,0.49988,2.5469,0.59483,0.87465,1.6856,0.87958,0.93834,1.0505,1.3507
0.90912,0.91393,0.3459,1.1179,2.1698,0.52207,1.7076,0.61401,1.0253,1.5495,1.0939,1.1934,1.0987,1.4363
0.92123,0.98044,0.27455,0.94315,2.312,0.36977,1.9748,0.51083,0.90701,1.6315,1.1278,1.0334,1.0355,1.139
0.91753,0.90748,0.23288,0.95802,2.0296,0.47994,2.2712,0.6613,1.1148,1.7604,1.002,1.0082,0.9302,1.2401
1.1046,1.0056,0.29918,1.0302,2.3096,0.41623,1.848,0.63783,1.0697,1.4851,0.95351,0.97808,1.0081,1.2822
0.86422,1.0996,0.27696,1.2058,1.7247,0.39934,2.3369,0.5276,0.89523,1.2204,0.86287,0.86671,0.92579,1.54
0.89231,0.8648,0.35453,1.0374,2.3234,0.53154,1.8373,0.69338,1.093,1.3997,0.96058,1.0487,1.0194,1.0276
0.90796,0.89149,0.22569,1.0229,1.799,0.37621,1.6203,0.58314,1.3901,1.3418,1.1489,1.0795,1.2077,1.1077
0.85569,1.1934,0.29676,0.85677,2.3134,0.47112,1.9734,0.55837,1.0609,1.4946,1.0754,0.93441,1.1618,1.2549
0.86548,0.79093,0.31643,0.97824,1.9659,0.42356,2.0228,0.51585,0.89022,1.7796,0.91047,0.97633,0.93312,1.2435
0.86435,1.0877,0.3084,0.99239,1.947,0.45145,2.1777,0.57222,0.92626,1.2472,0.94921,0.92014,1.0973,1.6843
0.80289,1.0212,0.25617,1.0065,1.6851,0.43951,2.0556,0.55875,1.168,1.5643,1.0225,0.99075,1.2461,1.5275
0.95308,0.88257,0.29787,1.2203,2.0765,0.46216,2.007,0.61264,1.13,1.6156,1.0257,0.98067,0.93152,1.2298
1.001,1.0713,0.26848,0.86143,2.0554,0.44961,1.9308,0.5767,1.0472,1.4514,0.99913,0.98819,1.0185,1.2204
0.86522,1.1765,0.21741,0.89027,2.0415,0.45528,2.0376,0.58028,0.94403,1.4054,1.097,1.0898,0.92402,1.5642
0.82407,1.0796,0.25467,0.97027,2.2589,0.42634,2.1157,0.6058,1.1131,1.2855,0.99691,0.96638,0.89298,1.5823
0.84691,1.1543,0.2871,1.1294,2.5392,0.46943,2.2112,0.59524,0.97916,1.3327,1.1963,1.0101,0.93961,1.1205
0.91614,1.2579,0.33441,0.84609,1.6547,0.45459,2.1875,0.60322,1.0595,1.6333,0.89431,1.0357,0.79617,1.214
0.95765,1.0531,0.35717,1.1399,1.7508,0.47747,1.7187,0.69875,1.0473,1.1761,1.0734,1.1369,0.9697,1.465
0.7254,1.0343,0.32588,0.93437,1.9245,0.45207,2.5499,0.5767,1.0583,1.2912,0.89036,1.2158,1.0528,1.4036
0.85114,1.0942,0.27159,0.91835,2.0635,0.54297,2.2538,0.65754,0.87154,1.1413,0.9698,0.80279,1.0265,1.1959
0.96743,1.0568,0.28758,1.0638,2.0473,0.49628,1.9036,0.60217,0.83817,1.3759,1.0705,1.0859,1.1384,1.2269
0.90266,1.0896,0.27385,0.99355,2.0509,0.47588,2.0551,0.60151,1.0171,1.3271,0.99439,1.0113,1.047,1.4383
0.96946,0.9916,0.36163,1.1934,1.5916,0.3277,1.7979,0.61892,1.0793,1.4219,0.83702,1.0252,0.84165,1.1117
0.98818,1.0057,0.3584,0.81611,1.7623,0.48936,1.9049,0.5667,0.92481,1.7845,1.0955,0.96647,1.1371,1.5043
0.80489,0.90043,0.34134,0.90205,2.1029,0.43536,2.104,0.53009,0.9027,1.4553,0.79597,0.99924,0.90707,1.2152
0.77444,0.85444,0.2914,1.0844,1.8828,0.58153,2.2573,0.63122,0.8798,1.5043,1.134,1.2491,1.0096,1.1567
0.879,1.0089,0.32007,1.1116,1.9069,0.3652,2.3337,0.50396,0.94117,1.409,0.78533,0.99999,0.94744,1.4727
0.68327,0.99159,0.3195,1.0575,2.0438,0.44881,2.2653,0.55158,1.2416,1.7295,0.94576,0.88773,1.0617,1.2842
1.0182,1.1073,0.35693,0.96838,1.7967,0.42536,1.5737,0.58059,1.117,1.3542,0.97168,0.85165,1.0462,1.2628
0.7583,1.0389,0.28923,1.0158,2.3825,0.51264,2.4286,0.57963,0.99693,1.5138,1.0481,0.99775,1.0922,1.1239
0.82421,0.90784,0.276,1.0744,2.1892,0.46049,1.8836,0.55248,1.0753,1.4986,1.1908,1.0052,1.1552,0.88911
0.83613,0.98955,0.28206,1.0288,2.248,0.42522,1.8699,0.54413,1.1238,1.6984,0.96103,0.91064,0.99254,1.1167
0.93968,0.8925,0.28223,1.0148,2.1058,0.42696,2.2426,0.70549,0.977,1.3445,0.8166,0.85335,1.0508,1.2343
0.83948,1.2846,0.30885,0.93938,2.088,0.5475,1.8501,0.66381,1.1526,1.4477,0.85267,0.96797,1.2095,1.4285
0.98369,1.0225,0.27623,0.77087,2.0316,0.42615,2.0833,0.57795,0.96172,1.3861,0.98945,1.0155,0.81654,1.3437
0.7947,1.0015,0.38408,0.9458,1.8267,0.4242,2.5515,0.62146,0.91946,1.121,1.1454,0.92201,0.858,1.2636
0.86871,1.0621,0.2894,0.99707,1.9941,0.53609,2.1555,0.63023,1.0876,1.7071,1.0609,1.0875,1.0602,1.2479
0.92291,1.2287,0.25971,1.2189,1.8663,0.46661,2.0244,0.55978,0.82906,1.7104,1.0113,1.0866,1.2103,1.2354
0.7783,0.94713,0.30522,1.1668,2.1705,0.42679,2.3818,0.54411,0.95183,1.2576,1.1575,1.0742,1.0285,1.0419
0.94123,1.0417,0.28884,1.1752,1.6965,0.44409,1.905,0.56636,0.9286,1.3495,0.97311,1.1667,1.0061,1.2627
0.94472,0.97581,0.34552,1.1246,2.4548,0.47234,1.8634,0.59163,1.0064,1.6116,0.97062,0.97692,1.0887,1.1582
0.87491,0.9942,0.27829,0.99531,2.2865,0.47653,2.2332,0.57684,0.83991,1.4789,0.75547,0.79682,0.86188,1.0935
0.98755,0.93793,0.33426,0.8803,2.0345,0.38394,1.9681,0.58606,1.0122,1.3847,1.1485,1.0167,0.92286,1.327
0.95473,0.9307,0.35631,1.1068,2.0185,0.44239,2.2529,0.6218,0.94946,1.4296,1.1982,1.0199,1.0994,1.4586
0.96028,0.7859,0.25528,1.0559,2.0562,0.4839,1.8815,0.6216,0.92922,1.4087,1.1769,1.159,0.98776,1.249
1.0346,1.1192,0.34067,1.1219,1.8999,0.48336,2.1615,0.66602,0.9597,1.5654,0.99318,1.0287,1.0813,1.3446
0.93334,0.97537,0.29015,1.2936,2.1699,0.39731,2.0065,0.58429,1.0231,1.352,1.038,0.96783,1.1459,1.0421
0.91121,0.83071,0.36232,0.91256,2.021,0.4537,1.7845,0.60075,1.0473,1.36,1.0608,0.97455,0.98157,1.1636
0.83096,1.0716,0.27144,0.95329,1.7267,0.52917,2.0914,0.58947,0.94448,1.5832,1.0562,1.1541,1.1419,1.4084
0.89649,1.0293,0.24006,0.90169,2.4571,0.41964,2.1862,0.56929,1.0888,1.3146,1.3026,1.0833,1.0124,1.1577
0.7799,0.87526,0.31779,1.2909,2.2812,0.44383,2.1486,0.66072,1.1216,1.3404,1.0218,1.0851,1.1105,1.3415
0.76793,0.93442,0.27878,1.0705,2.1264,0.46742,1.8426,0.55339,1.2036,1.6093,1.0355,0.9464,0.9634,1.209
0.8189,0.94096,0.30156,0.92793,1.8325,0.45252,2.0807,0.58906,1.213,1.5588,1.0852,0.88943,1.0818,1.2759
0.89372,1.059,0.27404,1.0161,1.9727,0.52334,1.8771,0.63031,0.93142,1.505,1.1855,0.84013,1.1644,1.3253
0.89593,0.87011,0.32041,1.0434,1.983,0.38762,2.0288,0.50553,0.94689,1.4741,0.80274,1.0557,1.0349,1.5332
0.98321,0.99143,0.29057,0.98122,2.24,0.42462,2.0274,0.6039,0.84216,1.2317,1.1515,1.0252,1.0627,1.3184
1.0633,1.0852,0.39445,0.8748,1.7745,0.43004,2.24,0.55763,0.73532,1.5502,1.1908,0.93346,1.357,1.7536
0.89167,0.97716,0.32344,1.039,2.1479,0.50223,1.9665,0.68433,1.0684,1.2405,1.0779,0.84416,1.0769,1.4182
0.72691,1.044,0.25555,1.0041,2.0596,0.53683,2.3451,0.60503,0.96469,1.3981,0.66123,1.1817,0.95535,1.1952
1.1397,1.0242,0.2771,1.0869,1.9115,0.3586,1.8493,0.52342,1.0205,1.8121,1.0243,1.0107,1.022,1.2735
0.78516,1.0405,0.30137,1.2152,2.3232,0.45409,1.9546,0.6938,1.3791,1.7059,1.0999,0.9135,1.0086,1.1032
0.94436,0.86286,0.36323,0.97629,1.8105,0.47698,1.9261,0.58158,0.95594,1.9361,0.95232,1.1033,0.85771,1.2063
0.91997,1.353,0.36248,0.84322,1.8622,0.44138,2.2123,0.59343,0.91986,1.7018,1.0172,1.2222,1.4186,1.6975
0.78353,0.96095,0.30392,0.99373,1.7493,0.42615,2.0278,0.66142,1.1019,1.7866,1.0282,1.1112,0.98091,1.0924
0.84428,0.95666,0.29696,0.86808,2.0732,0.40109,2.152,0.55865,0.93839,1.2787,1.0429,1.1734,0.9265,1.3878
0.84806,0.997,0.30683,1.1055,1.5606,0.50153,2.3527,0.568,0.86919,1.4639,0.90738,1.0496,1.1072,1.0965
1.0314,1.0522,0.22997,0.90461,1.9293,0.42155,1.7069,0.56473,0.98316,1.1781,0.86603,1.0481,1.0172,1.3147
0.85791,0.95562,0.32511,0.88836,1.9588,0.4712,2.1352,0.61759,1.0447,1.293,1.0782,1.105,1.0217,1.1987
0.923,1.065,0.23123,1.0984,1.9995,0.57884,2.4758,0.70291,0.92034,1.5964,1.1907,1.094,0.86207,1.1969
